Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
Mieszkanie po remoncie Nysa na parterze,329000.0,"os. Podzamcze, Nysa, Nysa, nyski, opolskie",49.1,2 ,parter,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-nysa-na-parterze-ID4nJ0O,Opolskie,nyski
Cesja gotowe do odbioru Royal Residence garaż,760000.0,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",35.76,2 ,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/cesja-gotowe-do-odbioru-royal-residence-garaz-ID4nW1B,Mazowieckie,Warszawa
Kawalerka/ brak PCC / bezpośrednio,266990.0,"Ruda Pabianicka, Górna, Łódź, łódzkie",25.37,1 ,parter,do wykończenia,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/kawalerka-brak-pcc-bezposrednio-ID4nW1A,Łódzkie,Łódź
"2 pokoje, 46m2, deweloperskie, blisko Pkp",552000.0,"Pruszków, pruszkowski, mazowieckie",46.0,2 ,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-46m2-deweloperskie-blisko-pkp-ID4nW1y,Mazowieckie,pruszkowski
Nowe mieszkania dwupokojowe w Piotrkowie Kuj.,204120.0,"ul. Dworcowa, Piotrków Kujawski, Piotrków Kujawski, radziejowski, kujawsko-pomorskie",34.0,2 ,1/2,,,,,https://www.otodom.pl/pl/oferta/nowe-mieszkania-dwupokojowe-w-piotrkowie-kuj-ID4nW1v,Kujawsko-pomorskie,radziejowski
"Bezczynszowe mieszkanie z poddaszem 88,50m²",495000.0,"Pruszcz Gdański, gdański, pomorskie",88.5,3 ,1/1,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-z-poddaszem-88-50m-ID44htl,Pomorskie,gdański
"Apartament 129m2, 5 pokoi | Tarasy Warty",1250000.0,"Św. Roch, Nowe Miasto, Poznań, wielkopolskie",129.0,5 ,5/12,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartament-129m2-5-pokoi-tarasy-warty-ID4nW1x,Wielkopolskie,Poznań
"Przestronne mieszkanie z klimatyzacją, garaż",607000.0,"Warszewo, Północ, Szczecin, zachodniopomorskie",55.19,2 ,1/2,do zamieszkania,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-klimatyzacja-garaz-ID4nMY3,Zachodniopomorskie,Szczecin
Kwidzyn,365000.0,"Kwidzyn, kwidzyński, pomorskie",65.0,3 ,4/4,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/kwidzyn-ID4nTki,Pomorskie,kwidzyński
4 POKOJE z odbiorem w grudniu - program 2%,684548.0,"ul. Skrajna, Ząbki, wołomiński, mazowieckie",64.58,3 ,4/5,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokoje-z-odbiorem-w-grudniu-program-2-ID4nNMW,Mazowieckie,wołomiński
Mieszkanie Bydgoszcz Górzyskowo + 2 M POSTOJOWE,529999.0,"ul. Wojciecha Gersona, Górzyskowo, Bydgoszcz, kujawsko-pomorskie",64.5,3 ,3/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-bydgoszcz-gorzyskowo-2-m-postojowe-ID4g0s7,Kujawsko-pomorskie,Bydgoszcz
Osiedle Malarska | mieszkanie 3-pok. | G4_1,429000.0,"Malarska, Sypniewo, Nowe Miasto, Poznań, wielkopolskie",71.38,3 ,parter/1,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/osiedle-malarska-mieszkanie-3-pok-g4-1-ID4nMjO,Wielkopolskie,Poznań
"2 Pokoje, Balkon, Komórka W Cenie, Metro Natolin.",799000.0,"Natolin, Ursynów, Warszawa, mazowieckie",45.52,2 ,6/9,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-komorka-w-cenie-metro-natolin-ID4nW1t,Mazowieckie,Warszawa
"OSTATNIA SZANSA - lokal 4 pokoje, duży balkon + MP",675000.0,"Lwowska, Marki, wołomiński, mazowieckie",77.84,4 ,1/1,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/ostatnia-szansa-lokal-4-pokoje-duzy-balkon-mp-ID4nid7,Mazowieckie,wołomiński
Rozkładowe M-4 z balkonem blisko Politechniki,430000.0,"ul. Tadeusza Czackiego, Górniak, Górna, Łódź, łódzkie",61.91,3 ,6/10,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/rozkladowe-m-4-z-balkonem-blisko-politechniki-ID4nDY8,Łódzkie,Łódź
3 POKOJE z odbiorem w grudniu - program 2%,708186.0,"ul. Skrajna, Elsnerów, Targówek, Warszawa, mazowieckie",66.81,3 ,4/6,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-z-odbiorem-w-grudniu-program-2-ID4nNMR,Mazowieckie,Warszawa
"1 MIESZKANIE, dwa lokale na wynajem, podzielone",556600.0,"ul. Skrajna, Ząbki, wołomiński, mazowieckie",48.4,2 ,5/5,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/1-mieszkanie-dwa-lokale-na-wynajem-podzielone-ID4nNN2,Mazowieckie,wołomiński
3-pokojowe mieszkanie 66m2 + ogródek Bez Prowizji,799000.0,"ul. Krótka, Olszynka, Gdańsk, pomorskie",66.37,3 ,parter/1,do wykończenia,,,ogródek,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrodek-bez-prowizji-ID4mrst,Pomorskie,Gdańsk
"2 pokoje, 42,2m Prądnik Czerwony OKAZJA!",555000.0,"Olsza, Prądnik Czerwony, Kraków, małopolskie",42.2,2 ,5/5,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/2-pokoje-42-2m-pradnik-czerwony-okazja-ID4nW1p,Małopolskie,Kraków
4 POKOJE z odbiorem w grudniu - program 2%,678090.0,"ul. Skrajna, Ząbki, wołomiński, mazowieckie",64.58,4 ,1/5,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokoje-z-odbiorem-w-grudniu-program-2-ID4nNMG,Mazowieckie,wołomiński
Przytulne M4 do remontu blisko parku + piwnica PCK,275000.0,"ul. Polskiego Czerwonego Krzyża, Centrum, Siemianowice Śląskie, śląskie",60.52,3 ,parter/3,do remontu,gazowe,,,https://www.otodom.pl/pl/oferta/przytulne-m4-do-remontu-blisko-parku-piwnica-pck-ID4nW19,Śląskie,Siemianowice Śląskie
3-pokojowe mieszkanie 137m2 + 2 tarasy,1618000.0,"ul. Władysława Łokietka, Tonie, Prądnik Biały, Kraków, małopolskie",137.4,3 ,1/1,do wykończenia,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-137m2-2-tarasy-ID4lZuC,Małopolskie,Kraków
Przestronne M-4 do odświeżenia blisko Stawy Jana,454000.0,"ul. Budowlana, Stare Chojny, Górna, Łódź, łódzkie",63.0,3 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/przestronne-m-4-do-odswiezenia-blisko-stawy-jana-ID4nR2l,Łódzkie,Łódź
Apartament w wysokim standardzie 109m2!,799000.0,"ul. Barlickiego, Będzin, będziński, śląskie",109.0,3 ,,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/apartament-w-wysokim-standardzie-109m2-ID4nW1m,Śląskie,będziński
Soft loft – wyjątkowe mieszkanie na Zawadach,1790000.0,"ul. Bruzdowa, Zawady, Wilanów, Warszawa, mazowieckie",121.0,4 ,1/2,do zamieszkania,kotłownia,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/soft-loft-wyjatkowe-mieszkanie-na-zawadach-ID49Y11,Mazowieckie,Warszawa
3-pokojowe mieszkanie 55m2 + balkon,498600.0,"ul. Morwowa, Julianów, Bałuty, Łódź, łódzkie",55.4,3 ,1/4,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-ID4n9JU,Łódzkie,Łódź
Mieszkanie 2 pokojowe z ogródkiem Wałcz Drugi,170000.0,"Wałcz Drugi, Wałcz Drugi, Wałcz, wałecki, zachodniopomorskie",53.4,2 ,1/1,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-ogrodkiem-walcz-drugi-ID4nW1l,Zachodniopomorskie,wałecki
Dwupokojowe Mieszkanie w Centrum Złotowa,257000.0,"ul. Nieznanego Żołnierza, Złotów, złotowski, wielkopolskie",36.27,2 ,2/3,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-centrum-zlotowa-ID4nW1k,Wielkopolskie,złotowski
Sprzedam rozkładowe mieszkanie – balkon – 2 pok. –,220000.0,"Konin, wielkopolskie",39.02,2 ,3/10,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/sprzedam-rozkladowe-mieszkanie-balkon-2-pok-ID4nW1j,Wielkopolskie,Konin
"Mieszkanie 2 pokojowe, Oświęcim ul. Tysiąclecia",268700.0,"al. Tysiąclecia, Oświęcim, oświęcimski, małopolskie",44.97,2 ,4/4,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-oswiecim-ul-tysiaclecia-ID4n9gR,Małopolskie,oświęcimski
"Sprzedam Mieszkanie Rydygiera 3pok, Garaż, 62m2",1300000.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",62.0,3 ,2,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-rydygiera-3pok-garaz-62m2-ID4nOc3,Mazowieckie,Warszawa
Mieszkanie 38m² bezpośrednio dobra lokalizacja,298000.0,"ul. Józefa Mireckiego, Żyrardów, żyrardowski, mazowieckie",38.0,2 ,1/2,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/mieszkanie-38m-bezposrednio-dobra-lokalizacja-ID4nNq8,Mazowieckie,żyrardowski
Dla Dużej Rodziny | Dostępne Od Zaraz | Morena |,1100000.0,"ul. Morenowe Wzgórze, Piecki-Migowo, Gdańsk, pomorskie",120.0,5 ,3/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/dla-duzej-rodziny-dostepne-od-zaraz-morena-ID4nUFz,Pomorskie,Gdańsk
2 Pokoje | Pod Inwestycje | Przymorze,569000.0,"ul. Lęborska, Przymorze Małe, Gdańsk, pomorskie",50.5,2 ,5/17,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/2-pokoje-pod-inwestycje-przymorze-ID4nUSz,Pomorskie,Gdańsk
Spokojna Okolica | Balkon | Komórka Lokatorska,429000.0,"ul. Zeusa, Kowale, Kolbudy, gdański, pomorskie",37.52,2 ,3/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/spokojna-okolica-balkon-komorka-lokatorska-ID4nUsW,Pomorskie,gdański
Nowoczesne 2-pokojowe mieszkanie w Redzie,395000.0,"Noskowskiego, Reda, wejherowski, pomorskie",33.95,2 ,1/3,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-w-redzie-ID4nW1g,Pomorskie,wejherowski
Warka! 60Km od Wwy studio na Rynku Starego Miasta,220000.0,"ul. Niemojewska, Warka, Warka, grójecki, mazowieckie",24.0,1 ,3/3,,,,balkon,https://www.otodom.pl/pl/oferta/warka-60km-od-wwy-studio-na-rynku-starego-miasta-ID4nW1a,Mazowieckie,grójecki
Eleganckie 4-pokojowe mieszkanie we Władysławowie!,990000.0,"ul. 1000-lecia Państwa Polskiego, Władysławowo, Władysławowo, pucki, pomorskie",75.0,4 ,parter/2,do zamieszkania,gazowe,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/eleganckie-4-pokojowe-mieszkanie-we-wladyslawowie-ID4nW1f,Pomorskie,pucki
Saska Kępa- Dojazd Do Centrum 10 Minut,779000.0,"al. Aleja Stanów Zjednoczonych, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",56.28,3 ,9/10,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/saska-kepa-dojazd-do-centrum-10-minut-ID4nW1c,Mazowieckie,Warszawa
"Okazja Cenowa, widna kuchnia,Niski blok, 2 balkony",649000.0,"Huta, Bielany, Warszawa, mazowieckie",48.0,3 ,,do remontu,inne,,,https://www.otodom.pl/pl/oferta/okazja-cenowa-widna-kuchnia-niski-blok-2-balkony-ID4nW18,Mazowieckie,Warszawa
"34 m2, ul. Plutona, 2 pokoje",195000.0,"ul. Plutona, Głogów, głogowski, dolnośląskie",34.2,2 ,4/10,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/34-m2-ul-plutona-2-pokoje-ID4nPmv,Dolnośląskie,głogowski
Zielona Podkowa | mieszkanie 63_b,990000.0,"ul. Natalińska, Otrębusy, Brwinów, pruszkowski, mazowieckie",114.7,4 ,1/1,do wykończenia,gazowe,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/zielona-podkowa-mieszkanie-63-b-ID4nJAB,Mazowieckie,pruszkowski
Mieszkanie 4 pokojowe - Apartamenty Vincent,,"ul. Aleja Wincentego Witosa, Gosławice, Opole, opolskie",84.25,4 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-apartamenty-vincent-ID4kPGN,Opolskie,Opole
"SUPER MIEJSCE 3 pokoje, 2 łazienki, 2xMP, ogródek",519000.0,"ul. Generała Jana Henryka Dąbrowskiego, Radzymin, Radzymin, wołomiński, mazowieckie",65.83,3 ,parter/1,do wykończenia,gazowe,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/super-miejsce-3-pokoje-2-lazienki-2xmp-ogrodek-ID4nNKE,Mazowieckie,wołomiński
"SUPER MIEJSCE 4 pokoje, 2 łazienki, 2xMP, ogródek",549000.0,"ul. Generała Jana Henryka Dąbrowskiego, Radzymin, Radzymin, wołomiński, mazowieckie",71.1,4 ,1/1,do wykończenia,gazowe,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/super-miejsce-4-pokoje-2-lazienki-2xmp-ogrodek-ID4nNKF,Mazowieckie,wołomiński
2-pokojowe mieszkanie 47m2 + balkon Bez Prowizji,730100.0,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",47.76,2 ,parter/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-bez-prowizji-ID4i0cU,Mazowieckie,Warszawa
2 pokoje Kiełczów z ogrodem,370000.0,"ul. Lawendowa, Kiełczów, Długołęka, wrocławski, dolnośląskie",43.28,2 ,parter/2,,,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/2-pokoje-kielczow-z-ogrodem-ID4hsCW,Dolnośląskie,wrocławski
Białe Tarasy | apartament 32H z tarasem,778800.0,"ul. Główna 32, 34, Leśnica, Fabryczna, Wrocław, dolnośląskie",73.71,4 ,1/1,do wykończenia,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/biale-tarasy-apartament-32h-z-tarasem-ID4nuWu,Dolnośląskie,Wrocław
"4 POKOJE, ogród 70 m2, 2xMP - SUPER CENA",429000.0,"ul. Zwycięska, Stary Dybów, Radzymin, wołomiński, mazowieckie",63.73,4 ,1/1,do wykończenia,gazowe,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/4-pokoje-ogrod-70-m2-2xmp-super-cena-ID4nNKY,Mazowieckie,wołomiński
"3 POKOJE, ogródek, parking - BLISKIE MARKI - BK2%",595000.0,"Marki, wołomiński, mazowieckie",61.55,3 ,parter/1,do wykończenia,gazowe,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/3-pokoje-ogrodek-parking-bliskie-marki-bk2-ID4nNL9,Mazowieckie,wołomiński
"Mieszkanie 3 pokoje, 61,92 m2, zielona okolica",799000.0,"Ząbki, wołomiński, mazowieckie",61.92,3 ,2/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-61-92-m2-zielona-okolica-ID4nJ0s,Mazowieckie,wołomiński
Apartamentowiec Ogrodowa 12 | mieszkanie B/7/12,3689010.0,"ul. Ogrodowa, Centrum, Stare Miasto, Poznań, wielkopolskie",157.65,4 ,7/7,do wykończenia,inne,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/apartamentowiec-ogrodowa-12-mieszkanie-b-7-12-ID4nFKz,Wielkopolskie,Poznań
Nowoczesny apartament na osiedlu Południe !,749000.0,"Włocławek, kujawsko-pomorskie",93.69,4 ,3/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-na-osiedlu-poludnie-ID4nW12,Kujawsko-pomorskie,Włocławek
"Małe mieszkanie z Dużym, Podwójny Balkonem.",391600.0,"Stare Polesie, Polesie, Łódź, łódzkie",38.6,2 ,2/8,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/male-mieszkanie-z-duzym-podwojny-balkonem-ID4nlpt,Łódzkie,Łódź
Dla miłośników panoram. widoków na MANUFAKURĘ .,528700.0,"Stare Polesie, Polesie, Łódź, łódzkie",60.62,4 ,7/10,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/dla-milosnikow-panoram-widokow-na-manufakure-ID4nm50,Łódzkie,Łódź
Mieszkanie - 2 pokoje/kredyt 2%/rata 2190*,579000.0,"ul. Objazdowa, Żerniki, Fabryczna, Wrocław, dolnośląskie",46.35,2 ,2/3,do zamieszkania,gazowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-kredyt-2-rata-2190-ID4kZ3H,Dolnośląskie,Wrocław
"Narożne mieszkanie nr 25, Koszalińska 52",809052.0,"ul. Koszalińska, Bielawy, Toruń, kujawsko-pomorskie",94.94,3 ,2/2,do wykończenia,kotłownia,,"balkon, taras",https://www.otodom.pl/pl/oferta/narozne-mieszkanie-nr-25-koszalinska-52-ID4i74s,Kujawsko-pomorskie,Toruń
"Mieszkanie 102 m2 + 2 balkony, 4 piętro, Park",1448798.0,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",101.67,4 ,4/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-102-m2-2-balkony-4-pietro-park-ID4nW0Z,Małopolskie,Kraków
"Mieszkanie 4 pokojowe 101 m1, Taras + balkon,",1456560.0,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",100.8,4 ,4/4,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-101-m1-taras-balkon-ID4nW0X,Małopolskie,Kraków
Piękne mieszkanie premium na Gocławiu,680000.0,"Gocław, Praga-Południe, Warszawa, mazowieckie",36.6,2 ,1/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-premium-na-goclawiu-ID4nW0R,Mazowieckie,Warszawa
"Atrakcyjne dwa pokoje , Lsm",380000.0,"Rury, Lublin, lubelskie",39.0,2 ,1/10,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/atrakcyjne-dwa-pokoje-lsm-ID4nW0O,Lubelskie,Lublin
Mieszkanie 2-Pokojowe W Centrum,300000.0,"os. Osiedle Tysiąclecia, Stargard, stargardzki, zachodniopomorskie",50.0,2 ,3/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-centrum-ID4nW0N,Zachodniopomorskie,stargardzki
Mieszkanie z potencjałem w Boguszowie-Gorcach,99000.0,"ul. 1 Maja, Boguszów, Boguszów-Gorce, wałbrzyski, dolnośląskie",37.0,2 ,3/4,do remontu,inne,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-w-boguszowie-gorcach-ID4lNxa,Dolnośląskie,wałbrzyski
3-pokojowe mieszkanie z osobną kuchnią - OP4/2/M7A,524718.0,"ul. Mokra, Plewiska, Komorniki, poznański, wielkopolskie",66.42,3 ,2/3,do wykończenia,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-osobna-kuchnia-op4-2-m7a-ID4fThH,Wielkopolskie,poznański
Mieszkanie z oddzilelną kuchnią. Blisko centrum.,485181.0,"ul. Garbarska, Kośminek, Lublin, lubelskie",52.17,3 ,,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-z-oddzilelna-kuchnia-blisko-centrum-ID4ksUS,Lubelskie,Lublin
Osielsko Residence | apartament 2-pok. | L29,529720.0,"ul. Jana Pawła II 83, Osielsko, Osielsko, bydgoski, kujawsko-pomorskie",69.7,2 ,2/3,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/osielsko-residence-apartament-2-pok-l29-ID4eM6h,Kujawsko-pomorskie,bydgoski
##Mieszkanie 3 pokojowe## duży taras + ogród##,655000.0,"ul. Bierutowska, Psie Pole, Psie Pole, Wrocław, dolnośląskie",62.32,3 ,parter/2,do zamieszkania,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-duzy-taras-ogrod-ID4nG36,Dolnośląskie,Wrocław
"3 pokoje, blisko centrum, nowe osiedle",552600.0,"Śródmieście, Lublin, lubelskie",61.4,3 ,,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-blisko-centrum-nowe-osiedle-ID4nxSE,Lubelskie,Lublin
"Mieszkanie 3 pokojowe, Mydlice",435000.0,"Mydlice Południowe, Mydlice, Dąbrowa Górnicza, śląskie",61.0,3 ,parter/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-mydlice-ID4lEot,Śląskie,Dąbrowa Górnicza
Piękna kawalerka na Olszy|Osiedle Oficerskie|UEK|,205000.0,"ul. Stefana Otwinowskiego, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie",14.6,1 ,parter/2,do wykończenia,kotłownia,,,https://www.otodom.pl/pl/oferta/piekna-kawalerka-na-olszy-osiedle-oficerskie-uek-ID4nMCQ,Małopolskie,Kraków
2 Pokoje 2 Balkony Widok na Las Bez PCC i Prowizji,399000.0,"Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",36.0,2 ,4/4,,kotłownia,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/2-pokoje-2-balkony-widok-na-las-bez-pcc-i-prowizji-ID4nNhi,Małopolskie,Kraków
"Atrakcyjne mieszkanie 3p. 75,2 m2 Ursus Skorosze",989000.0,"ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie",75.2,3 ,2/6,do zamieszkania,gazowe,,balkon,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-3p-75-2-m2-ursus-skorosze-ID4nn1l,Mazowieckie,Warszawa
OSTATNIE GOTOWE 4pokoje +OGRÓD_zobacz na żywo_0PCC,585000.0,"Jasień, Gdańsk, pomorskie",60.47,4 ,parter/4,do wykończenia,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/ostatnie-gotowe-4pokoje-ogrod-zobacz-na-zywo-0pcc-ID4nW0M,Pomorskie,Gdańsk
3-pokojowe mieszkanie 83m2 + ogródek,1400000.0,"ul. Prądnicka 64, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie",83.64,3 ,parter/4,do wykończenia,,garaż/miejsce parkingowe,"taras, ogródek",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-83m2-ogrodek-ID4kZvC,Małopolskie,Kraków
Nordowy Las | apartament A2,330150.0,"ul. Maślakowa, Tupadły, Władysławowo, pucki, pomorskie",29.97,2 ,1/1,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nordowy-las-apartament-a2-ID4npMD,Pomorskie,pucki
Nowe apartamenty od dewelopera przy stoku,463000.0,"ul. Źródlana, Świeradów-Zdrój, lubański, dolnośląskie",33.2,2 ,1/3,,gazowe,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/nowe-apartamenty-od-dewelopera-przy-stoku-ID4ctqA,Dolnośląskie,lubański
Kredyt 2% l Metro 550m | BEZPOŚREDNIO,649000.0,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",37.0,2 ,6/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/kredyt-2-l-metro-550m-bezposrednio-ID4nA6g,Mazowieckie,Warszawa
Komfortowe mieszkanie na SŁONECZNEJ MORENIE,750000.0,"ul. prof. Stefana Hausbrandta, Piecki-Migowo, Gdańsk, pomorskie",40.0,2 ,parter/9,do zamieszkania,miejskie,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-slonecznej-morenie-ID4nJ0r,Pomorskie,Gdańsk
Głuszyca kawalerka na Osiedlu,107000.0,"ul. Pionierów, Głuszyca, Głuszyca, wałbrzyski, dolnośląskie",26.12,1 ,3,,miejskie,,,https://www.otodom.pl/pl/oferta/gluszyca-kawalerka-na-osiedlu-ID4kDRh,Dolnośląskie,wałbrzyski
Urokliwe mieszkanie w kamienicy po remoncie,549000.0,"Grzymiradz, Dębno, myśliborski, zachodniopomorskie",77.0,3 ,1/3,,gazowe,,,https://www.otodom.pl/pl/oferta/urokliwe-mieszkanie-w-kamienicy-po-remoncie-ID4nW0I,Zachodniopomorskie,myśliborski
Mieszkanie 4-pok. 20min. do centrum Gdańska,399000.0,"Chełm, Gdańsk, pomorskie",75.0,4 ,parter/2,do wykończenia,gazowe,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/mieszkanie-4-pok-20min-do-centrum-gdanska-ID4nKuY,Pomorskie,Gdańsk
Bezczynszowe mieszkanie z ogrodem w Bolesławcu,660000.0,"ul. Mostowa, Bolesławiec, bolesławiecki, dolnośląskie",62.0,3 ,1,do zamieszkania,gazowe,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-z-ogrodem-w-boleslawcu-ID4nJ0k,Dolnośląskie,bolesławiecki
Urokliwe mieszkanie z ogródkiem!,614442.0,"Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie",54.91,3 ,parter/2,do wykończenia,gazowe,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/urokliwe-mieszkanie-z-ogrodkiem-ID4nW0G,Dolnośląskie,Wrocław
